epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.02,1.90071,2.26172,1.37004,0.92715,0.94054,0.96781,0.66861,0.86633,0.56896,0.9703,0.00021658,0.00021658,0.00021658
2,74.0874,0.7476,0.49454,0.87539,0.97932,0.98141,0.99355,0.76161,0.67695,0.3772,0.97849,0.000437119,0.000437119,0.000437119
3,90.1939,0.62776,0.39369,0.83931,0.98947,0.9916,0.99453,0.79148,0.65116,0.33993,1.0047,0.000653205,0.000653205,0.000653205
4,104.187,0.57156,0.36241,0.83034,0.99516,0.99343,0.99498,0.81958,0.5974,0.32122,0.99266,0.00080826,0.00080826,0.00080826
5,117.038,0.51825,0.3322,0.82021,0.99703,0.99902,0.9949,0.82837,0.54836,0.28264,0.97917,0.000800013,0.000800013,0.000800013
6,130.096,0.49594,0.31803,0.81879,0.99952,0.99916,0.995,0.85528,0.51298,0.25648,0.97404,0.000791767,0.000791767,0.000791767
7,143.13,0.46768,0.30277,0.81287,0.99813,0.99941,0.99497,0.81028,0.63118,0.29811,0.99491,0.00078352,0.00078352,0.00078352
8,155.749,0.44866,0.28881,0.80829,0.99892,0.99983,0.995,0.86483,0.51411,0.26033,0.9992,0.000775273,0.000775273,0.000775273
9,169.362,0.43773,0.28218,0.80711,0.99941,0.99948,0.995,0.86979,0.48653,0.25637,0.99505,0.000767026,0.000767026,0.000767026
10,182.162,0.42293,0.27317,0.8035,0.9993,0.99958,0.995,0.86577,0.4915,0.24528,0.98705,0.00075878,0.00075878,0.00075878
11,194.985,0.40324,0.26267,0.80191,0.9995,0.99945,0.99499,0.88599,0.4592,0.2354,0.98487,0.000750533,0.000750533,0.000750533
12,207.49,0.39204,0.25946,0.80201,0.99953,0.99953,0.995,0.85932,0.50474,0.24931,0.98558,0.000742286,0.000742286,0.000742286
13,220.579,0.41011,0.2666,0.80193,0.99962,0.99946,0.995,0.87862,0.46118,0.23531,0.96424,0.00073404,0.00073404,0.00073404
14,232.854,0.37131,0.25109,0.79586,0.99958,0.99981,0.995,0.8764,0.46366,0.24006,0.97868,0.000725793,0.000725793,0.000725793
15,246.141,0.38527,0.25569,0.79826,0.99949,0.99942,0.995,0.8796,0.43886,0.21332,0.9925,0.000717546,0.000717546,0.000717546
16,259.277,0.36145,0.24291,0.7976,0.99918,0.99963,0.995,0.88209,0.44402,0.22039,0.99356,0.000709299,0.000709299,0.000709299
17,273.076,0.35417,0.23622,0.79557,0.99935,0.99952,0.995,0.88803,0.43833,0.22003,0.96941,0.000701053,0.000701053,0.000701053
18,285.405,0.35364,0.23628,0.79562,0.99953,0.99957,0.995,0.88552,0.45236,0.22299,1.00926,0.000692806,0.000692806,0.000692806
19,298.832,0.34844,0.23399,0.79288,0.99971,0.9997,0.995,0.8905,0.42905,0.21628,0.98266,0.000684559,0.000684559,0.000684559
20,310.633,0.34461,0.2307,0.79215,0.99957,0.99965,0.995,0.88955,0.41513,0.20954,0.9769,0.000676313,0.000676313,0.000676313
