epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,343.599,0.65295,1.7692,0.75732,0.95998,0,0.99946,0.99923,0.995,0.87592,0.99947,0.99922,0.995,0.78282,0.53576,1.55766,0.32323,0.85769,0,0.000658228,0.000658228,0.000658228
2,671.976,0.38361,0.89276,0.28071,0.83195,0,0.97925,0.9984,0.9938,0.90651,0.97924,0.9984,0.9938,0.75818,0.44107,1.19997,0.44027,0.80441,0,0.00131178,0.00131178,0.00131178
3,999.573,0.37224,0.86246,0.26955,0.82875,0,0.99546,0.99953,0.99479,0.93633,0.99546,0.99953,0.99479,0.77718,0.37138,1.25899,0.26006,0.79833,0,0.00195213,0.00195213,0.00195213
4,1325.61,0.34591,0.82999,0.25137,0.82379,0,0.94038,0.99988,0.9923,0.95465,0.94038,0.99988,0.99229,0.77756,0.31482,1.01872,0.31224,0.79414,0,0.0019406,0.0019406,0.0019406
5,1648.75,0.30515,0.76317,0.22479,0.81428,0,0.99934,0.99995,0.995,0.98126,0.99934,0.99995,0.995,0.80864,0.23998,0.89046,0.17665,0.75827,0,0.0019208,0.0019208,0.0019208
6,1970.71,0.28655,0.72788,0.21241,0.81081,0,0.99996,0.99997,0.995,0.93656,0.99996,0.99997,0.995,0.79053,0.37476,1.02688,0.21388,0.80662,0,0.001901,0.001901,0.001901
7,2293.25,0.27186,0.71319,0.19977,0.80633,0,0.9917,0.99997,0.99495,0.99243,0.9917,0.99997,0.99495,0.8163,0.18465,0.87858,0.15638,0.76695,0,0.0018812,0.0018812,0.0018812
8,2614.42,0.26034,0.6825,0.19478,0.80532,0,1,0.99998,0.995,0.98807,1,0.99998,0.995,0.82281,0.21757,0.95358,0.15535,0.76932,0,0.0018614,0.0018614,0.0018614
9,2935.64,0.25479,0.67117,0.18929,0.80546,0,0.99997,0.99998,0.995,0.98433,0.99997,0.99998,0.995,0.83054,0.22006,0.86869,0.14798,0.77324,0,0.0018416,0.0018416,0.0018416
10,3256.53,0.24643,0.65277,0.18116,0.8017,0,1,1,0.995,0.99461,1,1,0.995,0.84297,0.15028,0.77289,0.12574,0.75082,0,0.0018218,0.0018218,0.0018218
11,3577.33,0.23291,0.64102,0.17562,0.8005,0,0.99999,1,0.995,0.99271,0.99999,1,0.995,0.85022,0.17604,0.81077,0.13254,0.75785,0,0.001802,0.001802,0.001802
12,3899.15,0.23246,0.63148,0.17348,0.79958,0,0.99987,0.99999,0.995,0.99362,0.99987,0.99999,0.995,0.85171,0.16517,0.79417,0.13408,0.75878,0,0.0017822,0.0017822,0.0017822
13,4221.02,0.22242,0.61768,0.1676,0.79777,0,1,0.99999,0.995,0.99475,1,0.99999,0.995,0.86274,0.13983,0.75023,0.11325,0.75819,0,0.0017624,0.0017624,0.0017624
14,4541.56,0.21968,0.6166,0.16638,0.79756,0,1,1,0.995,0.99433,1,1,0.995,0.8488,0.14942,0.77717,0.11568,0.76131,0,0.0017426,0.0017426,0.0017426
15,4862.02,0.21827,0.61422,0.16471,0.79786,0,1,1,0.995,0.99457,1,1,0.995,0.85269,0.15589,0.76779,0.11892,0.76025,0,0.0017228,0.0017228,0.0017228
16,5181,0.21188,0.59837,0.16202,0.79675,0,1,0.99999,0.995,0.99436,1,0.99999,0.995,0.85275,0.14444,0.78108,0.11214,0.75862,0,0.001703,0.001703,0.001703
17,5500.81,0.21308,0.59971,0.16115,0.79573,0,0.99998,0.99999,0.995,0.99399,0.99998,0.99999,0.995,0.85304,0.15334,0.76115,0.11772,0.76308,0,0.0016832,0.0016832,0.0016832
18,5819.79,0.20963,0.59243,0.1578,0.79566,0,1,0.99999,0.995,0.99488,1,0.99999,0.995,0.85776,0.13603,0.72175,0.11397,0.75492,0,0.0016634,0.0016634,0.0016634
19,6139.51,0.19957,0.57497,0.15179,0.79447,0,1,1,0.995,0.9949,1,1,0.995,0.85682,0.13203,0.73928,0.111,0.73981,0,0.0016436,0.0016436,0.0016436
20,6459.14,0.19694,0.5664,0.14927,0.79396,0,1,1,0.995,0.99489,1,1,0.995,0.86042,0.1271,0.71815,0.1055,0.74912,0,0.0016238,0.0016238,0.0016238
21,6780.23,0.19717,0.56427,0.14899,0.79282,0,1,1,0.995,0.99494,1,1,0.995,0.86416,0.10916,0.71368,0.09162,0.75435,0,0.001604,0.001604,0.001604
22,7100.83,0.19533,0.56314,0.14857,0.79408,0,1,1,0.995,0.99494,1,1,0.995,0.85674,0.12609,0.72032,0.10179,0.75739,0,0.0015842,0.0015842,0.0015842
