epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,923.45,0.60551,1.26137,4.10071,0.93749,0,0.94243,0.92376,0.97843,0.92134,0.94243,0.92376,0.97843,0.76505,0.36175,0.93842,0.74147,0.90337,0,0.00998721,0.00332907,0.00998721,0.00332907,0.00998721,0.00332907,0.00998721,0.00332907
2,1736.12,0.43713,0.86601,0.82406,0.88617,0,0.9972,0.99725,0.99486,0.98021,0.9972,0.99725,0.99486,0.79972,0.22685,0.83896,0.3184,0.79686,0,0.0199377,0.00664591,0.0199377,0.00664591,0.0199377,0.00664591,0.0199377,0.00664591
3,2544.27,0.373,0.77902,0.56719,0.85714,0,0.98791,0.98453,0.99414,0.9852,0.98791,0.98453,0.99414,0.79634,0.20391,0.82548,0.31098,0.79235,0,0.0298388,0.00994626,0.0298388,0.00994626,0.0298388,0.00994626,0.0298388,0.00994626
4,3336.35,0.31297,0.70865,0.4561,0.83894,0,0.99878,0.99914,0.99498,0.99344,0.99878,0.99914,0.99498,0.8092,0.15543,0.77529,0.1888,0.77831,0,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,4136.2,0.27025,0.65354,0.37917,0.82479,0,0.99924,0.99939,0.99499,0.9943,0.99924,0.99939,0.99499,0.82308,0.13782,0.72794,0.15534,0.77299,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,4927.19,0.24858,0.62193,0.33278,0.81805,0,0.99879,0.99927,0.99499,0.99457,0.99879,0.99927,0.99499,0.83354,0.12884,0.69229,0.14928,0.76861,0,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,5715.61,0.23607,0.60457,0.30115,0.81426,0,0.99944,0.99944,0.995,0.99483,0.99944,0.99944,0.995,0.83988,0.11399,0.67323,0.12457,0.76472,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,6499.17,0.22622,0.58901,0.28012,0.81153,0,0.99979,0.99982,0.995,0.99487,0.99979,0.99982,0.995,0.85143,0.11013,0.64797,0.10977,0.76334,0,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,799.006,0.22011,0.57771,0.26835,0.80978,0,0.99983,0.99988,0.995,0.99491,0.99983,0.99988,0.995,0.85199,0.10378,0.63332,0.10311,0.76156,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,1581.85,0.2151,0.56786,0.26079,0.80897,0,0.99987,0.99992,0.995,0.99494,0.99987,0.99992,0.995,0.85666,0.09689,0.62933,0.0955,0.75931,0,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,2361.9,0.21163,0.55966,0.25436,0.80741,0,0.9999,0.99993,0.995,0.99495,0.9999,0.99993,0.995,0.86252,0.09446,0.61801,0.09192,0.75869,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,3139.6,0.20842,0.55053,0.24823,0.80592,0,0.99991,0.99994,0.995,0.99496,0.99991,0.99994,0.995,0.86734,0.09334,0.59726,0.08736,0.75799,0,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,3918.32,0.20608,0.54882,0.24445,0.80626,0,0.99993,0.99995,0.995,0.99496,0.99993,0.99995,0.995,0.86976,0.0894,0.58576,0.08447,0.75743,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,4700.24,0.2033,0.54389,0.24068,0.80512,0,0.99992,0.99996,0.995,0.99497,0.99992,0.99996,0.995,0.87251,0.08876,0.5758,0.08283,0.75714,0,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,5480.45,0.20217,0.53851,0.23789,0.80452,0,0.99993,0.99996,0.995,0.99498,0.99993,0.99996,0.995,0.87521,0.08599,0.56859,0.08035,0.75627,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,6257.38,0.19982,0.53337,0.23494,0.80432,0,0.99993,0.99996,0.995,0.99498,0.99993,0.99996,0.995,0.87778,0.08508,0.56059,0.07897,0.75624,0,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,7035.47,0.19878,0.53071,0.23279,0.80381,0,0.99994,0.99996,0.995,0.99498,0.99994,0.99996,0.995,0.87899,0.08432,0.55666,0.0776,0.75602,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
